MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST,DEST_STATE_FIPS,DEST_STATE_NM,Var13_1,ORIGIN_FIPS,DES_FIPS,NUM_SEATS
2,20,2020-02-20,YX,N204JQ,6112,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,20,2020-02-20,YX,N246JQ,6118,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,20,2020-02-20,YX,N246JQ,6128,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,20,2020-02-20,YX,N809MD,6131,ROC,36,New York,LGA,36,New York,,36055,36081,69
2,20,2020-02-20,YX,N810MD,6134,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,21,2020-02-21,YX,N244JQ,5871,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N213JQ,5877,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N231JQ,5894,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N204JQ,5908,BUF,36,New York,LGA,36,New York,,36029,36081,76
2,21,2020-02-21,YX,N204JQ,5908,LGA,36,New York,BUF,36,New York,,36081,36029,76
2,21,2020-02-21,YX,N823MD,5910,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,21,2020-02-21,YX,N242JQ,5938,BOS,25,Massachusetts,BUF,36,New York,,25025,36029,76
2,21,2020-02-21,YX,N242JQ,5938,BUF,36,New York,BOS,25,Massachusetts,,36029,25025,76
2,21,2020-02-21,YX,N236JQ,5941,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N207JQ,5942,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N235JQ,5956,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N824MD,5961,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,21,2020-02-21,YX,N212JQ,5964,LGA,36,New York,ROC,36,New York,,36081,36055,76
2,21,2020-02-21,YX,N216JQ,5981,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N210JQ,5992,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N824MD,5993,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,21,2020-02-21,YX,N243JQ,6043,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N204JQ,6047,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N244JQ,6054,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N860RW,6056,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,21,2020-02-21,YX,N207JQ,6057,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N231JQ,6058,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N216JQ,6061,LGA,36,New York,ROC,36,New York,,36081,36055,76
2,21,2020-02-21,YX,N216JQ,6061,ROC,36,New York,LGA,36,New York,,36055,36081,76
2,21,2020-02-21,YX,N239JQ,6062,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
